"Name","Gross Export","Share","Code","Sector"
"Rape or colza seeds","82931","0.00016170901308161127","1205","Agriculture"
"Sunflower seeds","2655640","0.005178291875173942","1206","Agriculture"
"Other oil seeds","16598934","0.032366632927937705","1207","Agriculture"
"Flours of oil seeds","4846738","0.00945076290705698","1208","Agriculture"
"Seeds used for sowing","52426580","0.10222776176633755","1209","Agriculture"
"Hop cones","15088","0.000029420428903249095","1210","Agriculture"
"Plants used in perfumery, pharmacy or insecticide","78558912","0.15318378083328488","1211","Agriculture"
"Seaweeds & edible vegetable products","31131978","0.06070494070562798","1212","Agriculture"
"Cereal straw and husks","200182","0.00039033936232172657","1213","Agriculture"
"Forage products","15663673","0.030542946570800797","1214","Agriculture"
"Lac","2161821","0.004215383154298175","1301","Agriculture"
"Vegetable saps and extracts","51283208","0.09999827511231012","1302","Agriculture"
"Vegetable materials used for plaiting","213714","0.000416725711998209","1401","Agriculture"
"Vegetable products n.e.c.","2287771","0.004460975878341403","1404","Agriculture"
"Pig and poultry fat, rendered","282094","0.0005500614044958344","1501","Agriculture"
"Fish oils","339643","0.0006622774876714099","1504","Agriculture"
"Wool grease","485878","0.0009474243872383923","1505","Agriculture"
"Other animal fats and oils","85045","0.00016583114899766828","1506","Agriculture"
"Soybean oil","76069136","0.14832891088411893","1507","Agriculture"
"Peanut oil","170596","0.0003326489587207504","1508","Agriculture"
"Olive oil","4262962","0.008312445018441979","1509","Agriculture"
"Olive oil, blended","516949","0.001008010425576996","1510","Agriculture"
"Palm oil","12165177","0.02372115091622091","1511","Agriculture"
"Sunflower seed oil","32361706","0.06310281485689619","1512","Agriculture"
"Coconut & palm kernel oil","352845","0.0006880203629617529","1513","Agriculture"
"Rapeseed, colza or mustard oil,","379686","0.000740358229623478","1514","Agriculture"
"Other vegetable fats and oils","38884092","0.07582096130391018","1515","Agriculture"
"Vegetable fats, hydrogenated","11885157","0.023175133650745843","1516","Agriculture"
"Margarine","3511667","0.006847478082276381","1517","Agriculture"
"Animal or vegetable fats and oils, processed","2417777","0.004714477487566999","1518","Agriculture"
"Stearic acid","7412944","0.0144546654238976","1519","Agriculture"
"Glycerol","247273","0.00048216315722382773","1520","Agriculture"
"Vegetable waxes and beeswax","280458","0.0005468713314784885","1521","Agriculture"
"Degras and wax residues","138738","0.00027052833146732323","1522","Agriculture"
"Sausages","261645","0.0005101874417013924","1601","Agriculture"
"Other prepared or preserved meat","5867736","0.011441629759480066","1602","Agriculture"
"Prepared or preserved fish","1312107","0.0025585068071948213","1604","Agriculture"
"Prepared aquatic invertibrates","3181381","0.006203446018335599","1605","Agriculture"
"Sugarcane & sucrose","124220712","0.24222074666668753","1701","Agriculture"
"Other sugars","6687185","0.013039491705684901","1702","Agriculture"
"Molasses","48462196","0.09449752067294026","1703","Agriculture"
"Confectionery sugar","60673560","0.11830873265422973","1704","Agriculture"
"Cocoa beans","149121","0.00029077437556212935","1801","Agriculture"
"Cocoa paste","20360","0.00003970041970242256","1803","Agriculture"
"Cocoa butter","3015","0.000005879015982455992","1804","Agriculture"
"Cocoa powder","247470","0.0004825472919331292","1805","Agriculture"
"Chocolates","122386184","0.2386435594586401","1806","Agriculture"
"Malt extract","3328126","0.006489587378317523","1901","Agriculture"
"Pasta","59397852","0.1158212010718261","1902","Agriculture"
"Tapioca","46135","0.00008995966910467901","1903","Agriculture"
"Cereal foods","10291948","0.02006849976205837","1904","Agriculture"
"Bakery products","51957364","0.10131282698583205","1905","Agriculture"
"Pickled fruits and vegetables","33544994","0.06541013461273312","2001","Agriculture"
"Tomatoes, prepared or preserved","16725213","0.032612867176444696","2002","Agriculture"
"Mushrooms, prepared or preserved","3963","0.000007727542400820265","2003","Agriculture"
"Other vegetables, frozen","55259708","0.10775214146529064","2004","Agriculture"
"Other vegetables, prepared or preserved","98604848","0.19227180011265135","2005","Agriculture"
"Vegetables, fruits and nuts, preserved by sugar","345692","0.0006740725681615845","2006","Agriculture"
"Jams, jellies and marmalades","39660752","0.07733538802130133","2007","Agriculture"
"Fruits and nuts, otherwise prepared","23110100","0.04506290124582297","2008","Agriculture"
"Fruit juices","106701016","0.20805869930623305","2009","Agriculture"
"Coffee extracts","14625681","0.028518942737413917","2101","Agriculture"
"Yeasts","35251056","0.06873682309202363","2102","Agriculture"
"Sauces and seasonings","37124328","0.0723895580928486","2103","Agriculture"
"Soups and broths","33786692","0.06588142695267596","2104","Agriculture"
"Ice cream","1302727","0.0025402165352494026","2105","Agriculture"
"Food preparations n.e.c.","121404352","0.23672906326623988","2106","Agriculture"
"Waters","4811920","0.009382870509552119","2201","Agriculture"
"Waters, flavored or sweetened","19193946","0.03742670490892115","2202","Agriculture"
"Beer","1854100","0.003615351088912655","2203","Agriculture"
"Wine","90262","0.00017600389406581852","2204","Agriculture"
"Wine, flavored","3769","0.000007349257458665551","2205","Agriculture"
"Other fermented beverages","24265","0.00004731486660507286","2206","Agriculture"
"Ethyl alcohol > 80%","10971173","0.021392935792135876","2207","Agriculture"
"Spirits < 80% alcohol","58538","0.00011414455641161158","2208","Agriculture"
"Vinegars","112498","0.0002193623681573248","2209","Agriculture"
"Flours of fish, for animal feed","18351","0.0000357830256365008","2301","Agriculture"
"Cereal residues","7233954","0.014105648816700319","2302","Agriculture"
"Starch residues","103535288","0.20188577542294664","2303","Agriculture"
"Solid soybean residues","98869","0.00019278687600976502","2304","Agriculture"
"Solid peanut residues","62407","0.00012168880610850122","2305","Agriculture"
"Solid vegetable oil and fat residues","276007","0.0005381922269551348","2306","Agriculture"
"Vegetable materials for animal feeding","9252483","0.018041623693002447","2308","Agriculture"
"Animal feed","2731376","0.00532597119671533","2309","Agriculture"
"Unmanufactured tobacco","6423999","0.012526299433592476","2401","Agriculture"
"Cigars and cigarettes","3099166","0.0060431331496796714","2402","Agriculture"
"Other manufactured tobacco","32009150","0.0624153580215029","2403","Agriculture"
"Salt","28130102","0.054851515504516515","2501","Minerals"
"Sulphur, crude","77113","0.00015036436466173432","2503","Minerals"
"Natural graphite","4529","0.000008831198469168553","2504","Minerals"
"Natural sands","30594642","0.059657177212444235","2505","Minerals"
"Quartz","3808363","0.007426012253397695","2506","Minerals"
